2024-12-12 15:47:04,389 - INFO - IA inicializada.
2024-12-12 15:50:21,299 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:21,849 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:21,849 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:22,398 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:22,398 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:22,948 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:22,948 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:23,498 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:23,498 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:24,047 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:24,047 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:24,592 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:24,592 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:25,138 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:25,138 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:25,652 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:25,652 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:26,203 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:26,203 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:26,752 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:26,752 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
2024-12-12 15:50:27,301 - DEBUG - Escolhendo movimento a partir da posição {(17, 17): []}.
2024-12-12 15:50:27,301 - ERROR - Formato inválido de posicao_atual: {(17, 17): []}
